claim_id,proposed_claim_text,supporting_arcs,experimental_unit,n,point_estimate,ci_uncertainty,seed_robustness,scale_robustness,intervention_robustness,corpus_robustness,assay_status,preregistered_or_exploratory,evidence_status,strongest_counterevidence,safe_paper_wording,prohibited_overclaim,source_path
C01,Block-bypass top-1 substitutability declines over Pythia-160M pretraining.,ARC-003,independent PolyPythias-160M pretraining run,9 runs; 5 checkpoints; 10 interior layers; 3 evaluation shards,mean DeltaS=-0.103527681; median=-0.104101563,"run-bootstrap 95% CI [-0.111494502,-0.095847620]",9/9 negative; all leave-one-run-out medians negative,"same direction at 70M (5/5), but only two small scales",qualitative direction later reproduced with additive activation noise,one WikiText-2 source only,VALID; frozen evaluator and endpoint checks passed,preregistered independent-run test; seed9 prospectively held out,VALID,single corpus; tiny Pythia scales; no downstream outcome,"Across nine independent Pythia-160M runs on the frozen WikiText-2 assay, later checkpoints preserve fewer intact top-1 predictions after one interior-block bypass.",Pretraining universally makes Transformer layers causally specialized.,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json
C02,The endpoint direction prospectively replicates in held-out seed9.,ARC-003,held-out pretraining run,1 held-out run; 3 evaluation shards,DeltaS=-0.1189453125,"inside frozen prediction interval [-0.134625,-0.063661]",held-out run negative; 3/3 shards negative,160M only,block bypass only,WikiText-2 only,VALID,prospectively preregistered,VALID,single held-out run,A prospectively frozen ninth run reproduced the sign and fell inside the predicted magnitude range.,A single held-out run proves population-wide universality.,meta_arc05/ARC-20260826-5060-003/reports/heldout_run_prediction.md
C03,The decline survives intact-confidence and competence controls.,ARC-003,run x fixed intact-confidence bin,45 eligible run-bin contrasts,45/45 negative; mean matched change -0.113884,bin-specific descriptive changes; no causal CI,all nine runs represented,70M controls also directionally supportive in prior ARC-002,noise-family confidence control 25/25 negative in ARC-005,WikiText-2 only,VALID,preregistered fixed-bin robustness,VALID,fixed bins are not exact propensity matching,"The endpoint decline is not removed by fixed intact-confidence stratification, while intact NLL improves.",Confidence and token difficulty are fully controlled.,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json
C04,The endpoint decline is broad across interior block locations.,ARC-003,run x deleted interior layer,90 run-layer contrasts,90/90 negative; 10/10 layer medians negative,layer medians range -0.065321 to -0.183811,nine runs,160M layer breadth only,location pattern not tested identically across families,WikiText-2 only,VALID,preregistered robustness control,VALID,effect magnitude is strongly layer-dependent,"The direction holds for every tested interior run-layer pair, with substantial location-dependent magnitude.",Layer location is irrelevant.,meta_arc05/ARC-20260826-5060-003/results/layer_endpoint_deltas.csv
C05,The direction replicates at a second small Pythia scale.,ARC-002/ARC-003,independent PolyPythias-70M run,5 runs,median DeltaS=-0.143338; 5/5 negative,"run-bootstrap 95% CI [-0.153852,-0.110297]",5/5 negative,70M and 160M only,block bypass,WikiText-2 only,VALID; reused without retuning,confirmatory reuse after primary gate,VALID,both scales are small and same architecture family,"The endpoint direction also appears in five 70M runs; this is two-small-scale replication, not a scaling law.",The result scales to large language models.,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json
C06,Substitutability decreases monotonically at every checkpoint.,ARC-002/ARC-003,checkpoint trajectory,five public checkpoints per run,strict monotonicity observed at 160M ARC-003 but contradicted at 70M and not required by contract,no change-point or monotonic-law inference,trajectory shape not stable across all earlier runs,fails as a universal two-scale statement,not established,not established,VALID data; over-broad claim,not a required gate,INVALIDATED,70M intermediate rebounds and sparse checkpoints,Early-to-late decline is supported; strict checkpoint-by-checkpoint monotonicity is not claimed.,A universal smooth training law or phase transition.,meta_arc05/ARC-20260826-5060-003/reports/strongest_counterevidence.md
C07,Raw perturbation magnitude alone explains the effect.,ARC-004,matched intervention pair summarized by independent run,185 magnitude-matched pairs; 6 runs,higher-damage contrast +0.04296875 at median magnitude ratio 1.0193,"run-bootstrap 95% CI [0.0353733,0.0524631]",6/6 positive; confirmatory 3/3,160M only,within residual-attenuation family; ARC-005 complicates generalization,WikiText-2 only,VALID; exact endpoints reproduced,preregistered matched contrast,INVALIDATED,observational magnitude coefficient remains; second family retains magnitude structure,"Within residual attenuation, equal raw displacement can yield different top-1 damage when predictive damage differs.",Magnitude never matters.,research/arc_20260826_5060_004/results/mechanism_summary.json
C08,Candidate A aligns more strongly with functional predictive damage than raw magnitude in the original dose family.,ARC-004,independent run median of matched pairs,6 runs; 185 magnitude-matched and 162 damage-matched pairs,magnitude-matched damage contrast +0.042969; damage-matched magnitude contrast +0.002459,"95% CIs [0.035373,0.052463] and [-0.000904,0.005751]",first contrast 6/6; residual contrast 4/6 positive,160M only,ordering weakens under activation noise,WikiText-2 only,VALID,preregistered controlled discrimination,VALID,KL/NLL and top-1 damage share intervened logits; not randomized,"In the original dose family, predictive damage discriminates top-1 damage better than raw displacement under frozen matching.",KL/NLL causally mediates DeltaS.,research/arc_20260826_5060_004/results/mechanism_summary.json
C09,The early-to-late direction is not unique to block deletion.,ARC-005,independent run under additive activation noise,5 runs; 15 run-checkpoint aggregates,mean DeltaS=-0.0724648; 5/5 negative,"run-bootstrap 95% CI [-0.0843764,-0.0630449]",5/5 negative; 25/25 confidence bins negative,160M only,two intervention families qualitatively agree,WikiText-2 only,VALID,preregistered family robustness,VALID,one catastrophic cell; family mapping differs quantitatively,A norm-controlled additive activation-noise family reproduces the early-to-late direction in five runs.,The effect is intervention invariant.,research/arc_20260826_5060_005/results/family_robustness_summary.json
C10,A family-invariant KL/NLL-to-top-1 damage law explains both interventions.,ARC-005/ARC-006R,KL/NLL-matched cell summarized by run,103 corrected Class A cells; 5 runs,corrected family residual=-0.016833044,"run-bootstrap 95% CI [-0.020044850,-0.012615741]","5/5 run medians negative; LOSO range [-0.018799,-0.015652]",160M only,residual proves quantitative non-invariance on tested support,WikiText-2 only,VALID only under ARC-006R canonical tie rule,prospective matching; corrected preregistered repair,INVALIDATED,residual outside frozen equivalence region,Matched KL/NLL damage does not eliminate a reproducible intervention-family residual.,KL/NLL fully determines DeltaS across interventions.,research/arc_20260827_5060_006R/results/corrected_summary.json
C11,The original mixed-rule ARC-006 residual equals -0.019234664.,ARC-006,matched cell/run,103 cells,withdrawn mixed-rule estimate -0.019234664,invalid because outcome conventions differed by family,not relevant after assay invalidation,none,comparison itself inconsistent,none,INVALID: block topk vs noise argmax tie-breaking,"original preregistered analysis, subsequently invalidated",INVALIDATED,maximum single-cell correction comparable to aggregate residual,The original ARC-006 exact estimate was withdrawn and replaced by ARC-006R.,Reuse any ARC-006 exact residual or reversal count as valid evidence.,research/arc_20260827_5060_006R/assay_bug_report.md
C12,A corrected intervention-family residual remains after KL/NLL matching.,ARC-006R,independent run median over corrected Class A cells,103 cells; 5 runs; 3 checkpoints; 10 layers,-0.016833044,"95% CI [-0.020044850,-0.012615741]",5/5 negative; all LOSO below negative equivalence bound,160M only,block versus additive noise,WikiText-2 only,VALID; canonical lowest-index exact-maximum rule; seals pass,"preregistered assay repair, unchanged matching",VALID,24/103 sign reversals; layer heterogeneity; only two families,A seed-stable intervention-family component remains after matching KL and NLL under a corrected deterministic top-1 assay.,The residual identifies an internal mechanism.,research/arc_20260827_5060_006R/results/corrected_summary.json
C13,Simple output geometry fully explains the corrected family residual.,ARC-007R,run-specific family coefficient / corrected cell,103 Class A cells; 5 runs,full geometry shrinkage 20.18%; adjusted residual -0.0134364,"adjusted 95% CI [-0.0176410,-0.0092317]",residual persists by run; M3 heterogeneous,160M only,two families,WikiText-2 only,VALID corrected baseline reproduced exactly,preregistered model sequence,INVALIDATED,boundary-only shrinkage -1.49%; 31-cell geometry match residual -0.02436,A compact output-geometry block correlates with a modest fraction of the residual but leaves most structure unexplained.,Decision-boundary geometry causes Candidate A.,research/arc_20260827_5060_007R/results/geometry_summary.json
C14,Hidden perturbation-direction features provide a material held-out explanation.,ARC-008,leave-one-run-out cell prediction,103 cells; 5 held-out run folds,RMSE reduction 9.63%; reversal AUC gain 0.00264,below frozen 10% and +0.05 gates,LOO evaluation used,160M only,block/noise directions,WikiText-2 only,VALID observational analysis; causal gate failed,preregistered Stage A,EXPLORATORY,direction disagreement SD too small; improvement below gate,Extracted directions are distinct but add little held-out predictive information beyond the frozen baseline.,Internal perturbation direction explains the residual.,research/arc_20260827_5060_008/results.json
C15,Internal perturbation direction has a measured causal effect on DeltaS.,ARC-008/ARC-009,prospective direction-swap cell,0 revealed causal cells,not estimated,not estimable,not estimable,none,none,none,INCONCLUSIVE: outcome remained blinded after support failure,preregistered causal gate,INCONCLUSIVE,ARC-009 PASS-A 47/103 below frozen minimum 60,The causal contribution of internal direction is not identifiable under the current assay.,"Direction has no effect, or direction causes the residual.",research/arc_20260828_5060_009/feasibility_summary.json
C16,The phenomenon is robust across evaluation corpora.,none,corpus,1 corpus,not estimated,not estimable,strong within WikiText-2,70M/160M within Pythia,two families on same corpus,ABSENT,INCONCLUSIVE,not yet tested,INCONCLUSIVE,all headline results reuse the same cached WikiText-2 text source,All current claims are conditioned on the frozen WikiText-2 assay.,The effect generalizes across domains or token distributions.,meta_arc05/ARC-20260826-5060-003/reports/final_arc_report.md
C17,The effect is a general cross-architecture training law.,prior SmolLM2 trajectory outside mechanism chain,one non-Pythia training trajectory,1 SmolLM2-360M run; 8 public checkpoints,"same endpoint direction, smaller magnitude; pre-decay component present",resample intervals only; no independent-run replication,none outside Pythia,360M single run,block bypass only,WikiText-2 evaluation only,valid exploratory trajectory; not part of corrected family-residual chain,prospective but single-trajectory boundary test,EXPLORATORY,missed original -0.05 magnitude gate; late WSD amplification; one run,One SmolLM2 trajectory supplies exploratory directional evidence only.,Universal cross-family or large-model scaling law.,meta_arc05/reports/research_lock_candidate.md
C18,DeltaS predicts downstream capability or pruning safety.,none,downstream task/model,0,not tested,not estimable,none,none,none,none,INCONCLUSIVE,not tested,INCONCLUSIVE,"S is an intact-prediction agreement assay, not task utility",S operationalizes next-token block substitutability; downstream relevance remains open.,Later checkpoints are more fragile in practical deployment or should be pruned earlier.,meta_arc05/ARC-20260826-5060-003/reports/final_arc_report.md
