paper location,claim,number,ARC source,artifact source,validity status,verification status
Sec. 4 / Fig. 1a,Pythia-160M block-bypass endpoint direction,9/9 negative; mean DeltaS=-0.103527681; median=-0.104101563; 95% CI [-0.111494502;-0.095847620],ARC-003,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json,VALID,verified against stored JSON and report
Sec. 4,Prospective held-out seed9,DeltaS=-0.118945313; frozen interval [-0.134625;-0.063661],ARC-003,meta_arc05/ARC-20260826-5060-003/reports/heldout_run_prediction.md,VALID,verified against report
Sec. 4 / Fig. 1b,Pythia-70M directional replication,5/5 negative; median DeltaS=-0.143338; 95% CI [-0.153852;-0.110297],ARC-003,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json,VALID,verified against report summary
Sec. 4,Confidence control on WikiText-2,45/45 negative; mean=-0.113884,ARC-003,meta_arc05/ARC-20260826-5060-003/results/independent_run_summary.json,VALID,verified against report
Sec. 4,Layer-location breadth,90/90 run-layer changes negative; 10/10 layer medians negative,ARC-003,meta_arc05/ARC-20260826-5060-003/results/layer_endpoint_deltas.csv,VALID,verified against report and CSV
Sec. 4 / Fig. 1c,HellaSwag-derived corpus endpoint,6/6 negative; mean DeltaS=-0.079264; 95% CI [-0.088509;-0.067672],ARC-011,research/arc_20260828_5060_011/results/cross_corpus_summary.json,VALID,verified against JSON and executive summary
Sec. 4,HellaSwag confidence control,30/30 negative; mean=-0.089488; 95% CI [-0.100292;-0.074097],ARC-011,research/arc_20260828_5060_011/results/cross_corpus_summary.json,VALID,verified against JSON
Sec. 4,HellaSwag/WikiText absolute effect ratio,0.765634; 95% CI [0.644852;0.880142],ARC-011,research/arc_20260828_5060_011/results/cross_corpus_summary.json,VALID,verified against JSON
Sec. 5 / Fig. 2,Magnitude-matched functional-damage contrast,185 pairs; mean run-median=0.04296875; 95% CI [0.0353733;0.0524631]; 6/6 positive,ARC-004,research/arc_20260826_5060_004/results/mechanism_summary.json,VALID,verified against JSON and mechanism report
Sec. 5 / Fig. 2,Damage-matched raw-magnitude contrast,162 pairs; mean run-median=0.002459; 95% CI [-0.000904;0.005751],ARC-004,research/arc_20260826_5060_004/results/mechanism_summary.json,VALID,verified against ARC-010 evidence ledger
Sec. 6,Activation-noise endpoint direction,5/5 negative; mean DeltaS=-0.0724648; 95% CI [-0.0843764;-0.0630449],ARC-005,research/arc_20260826_5060_005/results/family_robustness_summary.json,VALID,verified against JSON and family report
Sec. 6,Prospective strict matching coverage,103/150 Class A cells (68.67%); 134/150 Class A+B (89.33%),ARC-006/006R,research/arc_20260826_5060_006/match_diagnostics/targeting_quality.json,VALID for matching only,verified; matching assignments unchanged by repair
Sec. 6 / Fig. 3,Corrected family residual,-0.016833044; 95% CI [-0.020044850;-0.012615741]; 5/5 negative,ARC-006R,research/arc_20260827_5060_006R/results/corrected_summary.json,VALID,verified canonical_argmax summary
Sec. 6 / Fig. 3,Frozen equivalence half-width,0.010742188,ARC-006R,research/arc_20260827_5060_006R/results/corrected_summary.json,VALID,verified unchanged after repair
Sec. 6,Assay repair effect,+0.002401620; 12.49% of invalid estimate magnitude,ARC-006R,research/arc_20260827_5060_006R/results/corrected_summary.json,VALID audit fact,verified against JSON
Sec. 6 / Appendix,Corrected cellwise sign reversals,24/103,ARC-006R,research/arc_20260827_5060_006R/results/corrected_summary.json,VALID descriptive,verified against JSON
Sec. 7 / Fig. 4,Full simple output-geometry shrinkage,20.18%,ARC-007R,research/arc_20260827_5060_007R/results/geometry_summary.json,VALID associative,verified against JSON
Sec. 7 / Fig. 4,Geometry-adjusted family coefficient,-0.0134364; 95% CI [-0.0176410;-0.0092317],ARC-007R,research/arc_20260827_5060_007R/results/geometry_summary.json,VALID associative,verified against JSON
Sec. 7,Outcome-blind geometry-matched subset,31/103 cells; residual=-0.0243634; 95% CI [-0.0300637;-0.0181858],ARC-007R,research/arc_20260827_5060_007R/results/geometry_summary.json,VALID sensitivity,verified against JSON
Sec. 8 / Appendix,Direction-feature held-out improvement,RMSE reduction=9.63%; reversal AUC gain=0.0026,ARC-008,research/arc_20260827_5060_008/results.json,EXPLORATORY,verified; both miss frozen gates
Sec. 8 / Appendix,Counterfactual support in ARC-008,15/103 cells,ARC-008,research/arc_20260827_5060_008/calibration_summary.json,INCONCLUSIVE,verified; outcome not revealed
Sec. 8 / Appendix,Continuous-alpha support,47/103 PASS-A; 29/103 PASS-B; +32 cells versus ARC-008,ARC-009,research/arc_20260828_5060_009/feasibility_summary.json,INCONCLUSIVE,verified; no D_S reveal
