experiment_id,purpose,hypothesis,model,parameter_count,architecture,dataset,setting,checkpoints,intervention,layers,strengths,seeds,KL_role,NLL_role,downstream_metric,other_metrics,primary_outputs,in_current_paper,interpretation,confidence,reproduce
ARC-001,"Initial boundary prototype","A checkpoint-dependent bypass response is measurable","EleutherAI/pythia-160m-deduped","~160M","GPT-NeoX decoder-only","WikiText-2 train","teacher-forced next-token","0;1000;10000;50000;143000","single block bypass","interior blocks","literal bypass","evaluation 11;23;37","damage diagnostic","competence/damage diagnostic","top-1 agreement S / Delta S","confidence bins","results/ARC-001","background only","developmental; superseded by independent-run evidence","LOW","optional"
ARC-002,"Independent-run stability red team","Endpoint decline survives independent runs and a second scale","PolyPythias 70M and 160M","70M;162322944 for 160M","GPT-NeoX decoder-only","WikiText-2 train","5 runs per scale; fixed teacher forcing","14000;36000;72000;107000;143000","single interior block bypass","frozen interior blocks","literal bypass","run IDs 1-5; evaluation 11;23;37","functional damage","competence and damage","top-1 agreement S / Delta S","confidence; layer profiles","results/ARC-002","supports ARC-003/70M","directional independent-run replication","MEDIUM-HIGH","yes"
ARC-003,"Canonical independent-run replication","Late-minus-early block-bypass agreement is negative across genuine runs","PolyPythias 160M plus 70M confirmation","162322944 for 160M; ~70M","GPT-NeoX decoder-only","WikiText-2 train","9 primary runs; seed9 held out","14000;36000;72000;107000;143000","single interior block bypass","1-10 of 12 at 160M","literal bypass","160M 1-9;70M 1-5;evaluation 11;23;37","late-minus-early KL damage","intact competence and damage","S and Delta S","confidence bins;layer breadth;Spearman","results/ARC-003/results/independent_run_summary.json","yes","stable assay outcome; not a universal training law","HIGH within assay","yes"
ARC-004,"Mechanism discrimination","Functional damage explains more than raw displacement within attenuation","PolyPythias 160M","162322944","GPT-NeoX decoder-only","WikiText-2 train","pilot then confirmatory matched contrasts","14000;72000;143000","residual attenuation","1-10","alpha .25;.50;.75;1.0","1;4;9 pilot;6;7;8 confirmatory","matching and separation variable","joint matching and separation variable","D_S matched contrasts","relative residual norm;confidence","results/ARC-004/results/mechanism_summary.json","yes","controlled association; no causal mediation","MEDIUM-HIGH","yes"
ARC-005,"Second intervention family","The endpoint survives norm-controlled activation noise","PolyPythias 160M","162322944","GPT-NeoX decoder-only","WikiText-2 train","calibration plus 5 confirmatory runs","14000;72000;143000","norm-controlled additive activation noise","1-10","beta .35;.50;.75; directions 101;202;303","1;4 calibration;2;3;5;6;8 confirmatory","damage descriptor/matching","damage descriptor/matching","S and Delta S","relative norm;confidence","results/ARC-005/results/family_robustness_summary.json","yes qualitatively","family direction replicates; sparse original residual exploratory","MEDIUM","yes"
ARC-006-INVALIDATED,"Prospective inverse damage targeting","KL/NLL-matched block and noise interventions may differ","PolyPythias 160M","162322944","GPT-NeoX decoder-only","WikiText-2 train","outcome-blind targeting;150 cells","14000;72000;143000","block attenuation vs activation noise","1-10","fixed beta 0-.25-.50-.75-1-1.25 plus refinements","2;3;5;6;8","primary targeting metric","primary targeting metric","original D_S invalidated","match coverage","results/ARC-006-INVALIDATED","matching only","assignments valid; outcomes invalid due mixed tie rule","INVALID for outcomes","no; use ARC-006R"
ARC-006R,"Assay repair","Family residual survives deterministic tie repair","artifact-only reanalysis","not applicable","not applicable","preserved WikiText-2 logits/results","canonical argmax recomputation","14000;72000;143000","same frozen families/matches","1-10","unchanged","2;3;5;6;8","unchanged matching","unchanged matching","corrected D_S residual","reversals;layer heterogeneity","results/ARC-006R/results/corrected_summary.json","yes","canonical corrected cross-family estimate","HIGH within matched estimand","yes; CPU only"
ARC-007R,"Output-geometry qualification","Simple output geometry explains the corrected residual","artifact-only analysis of Pythia-160M outputs","not applicable","not applicable","WikiText-2 saved logits/margins","preregistered geometry regressions/matching","14000;72000;143000","same corrected families","1-10","unchanged","2;3;5;6;8","covariate","covariate","adjusted family residual","logit norm;margin;alignment;AUC","results/ARC-007R/results/geometry_summary.json","yes","20.18% shrinkage; mechanism incomplete","MEDIUM associational","yes; CPU only"
ARC-008,"Internal-direction test","Hidden perturbation direction explains/causes the residual","PolyPythias 160M saved activations","162322944","GPT-NeoX decoder-only","WikiText-2 train","observational plus blinded counterfactual feasibility","14000;72000;143000","direction counterfactual","1-10","alpha multipliers .125-.25-.5-1-1.5-2","2;3;5;6;8","support matching","support matching","not revealed for causal stage","RMSE;reversal AUC;direction cosine","results/ARC-008","negative evidence only","observational effect misses gate; causal support fails","INCONCLUSIVE","only to audit failure"
ARC-009,"Continuous-alpha feasibility","Continuous alpha yields enough strict support for causal reveal","PolyPythias 160M","162322944","GPT-NeoX decoder-only","WikiText-2 train","blinded feasibility on 103 cells","14000;72000;143000","continuous-alpha direction calibration","1-10","alpha multiplier .125-2","2;3;5;6;8","root target","root target","not revealed","PASS-A/PASS-B coverage","results/ARC-009/feasibility_summary.json","negative boundary","feasibility fails; branch terminated","INCONCLUSIVE","no"
ARC-011,"Cross-corpus robustness","Endpoint and control ordering reproduce off WikiText-2","PolyPythias 160M","162322944","GPT-NeoX decoder-only","HellaSwag-derived correct-continuation stream","6 independent runs;4608 tokens/checkpoint","14000;72000;143000","residual attenuation","1-10","alpha .25;.50;.75;1.0","1;4;6;7;8;9;evaluation 11;23;37","damage and matching","damage and matching","S and Delta S","confidence;effect ratio;matched contrasts","results/ARC-011/results/cross_corpus_summary.json","yes","bounded two-stream replication; smaller effect","HIGH within assay","yes"
