paper,venue_year,intervention_on_weights,intervention_on_activations,pretrained_LM,independent_pretrained_runs,multiple_model_scales,multiple_corpora,cross_intervention_comparison,raw_perturbation_magnitude_control,functional_KL_NLL_damage_analysis,prospective_damage_matching,intervention_family_residual,output_geometry_analysis,same_or_similar_DeltaS_construct,causal_mechanism_claim,overlap_severity,what_candidate_a_adds
"No Free Swap","arXiv 2026",yes,no,yes,no,yes,limited,yes,no,KL,no,"protocol gap, not KL-matched residual",yes,"training trajectory of output-grounded layer equivalence; not exact Delta S",bounded mechanistic hypotheses,T5,"Independent pretraining runs; top-1 bypass decline; two corpora; prospective KL/NLL matching; corrected family residual."
"Remarkable Robustness of LLMs","NeurIPS 2025",yes,no,yes,no,yes,yes,yes,no,yes,no,no,limited,"exact top-1 relative accuracy at static checkpoints",stages hypothesis,T4,"Training trajectory; independent runs; damage/magnitude controls; activation-noise replication."
"SteerCheck","arXiv 2026",no,yes,yes,no,yes,yes,yes,yes,KL,yes,yes,yes,no,"conditional attribution only",T4,"Block-bypass pretraining trajectory and independent-run/corpus replication; different estimand."
"Divergent Token Metrics","NAACL 2024",yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,"mathematical complement of S on fixed contexts",no,T4,"Delta of agreement across checkpoints; independent runs; controlled intervention families."
"Training Dynamics Impact PTQ Robustness","ICLR 2026",yes,no,yes,yes,yes,yes,yes,limited,NLL/CE,no,no,loss-landscape,"training-associated perturbation degradation, different perturbation",bounded LR/curvature interpretation,T4,"Block-level discrete substitutability and prospective family matching."
"When Probing Accuracy Saturates, Fragility Resolves","arXiv 2026",no,yes,yes,no,yes,yes,limited,yes,no,no,no,activation-scale and representation geometry,"training-time fragility, different endpoint",no,T4,"End-to-end top-1 block-bypass effect; independent runs; damage matching."
"Not the Dimension, the Norm","arXiv 2026",yes,no,yes,no,yes,yes,yes,yes,no,no,no,subspace geometry,no,"norm account in gradient-free adaptation",T4,"Shows norm insufficiency only in Candidate's residual-attenuation assay; checkpoint trajectory and KL/NLL matching."
"Understanding Robustness of Transformers for Image Classification","ICCV 2021",yes,yes,no,no,yes,yes,yes,limited,no,no,no,representation correlation,"training-data-associated layer-removal robustness in vision",no,T2,"Language-model checkpoint trajectory and matched damage controls."
"Efficient Parametric Approximations of FSD","ICML 2023",implicit,no,no,no,no,yes,no,no,"generic output discrepancy",no,no,yes,no,no,T2,"Specific structural-intervention empirical residual; not a new FSD concept."
"Walking Noise","arXiv 2022",yes,yes,no,yes,yes,yes,yes,yes,no,no,no,limited,"noise robustness but not Delta S",noise-adaptation explanations,T3,"Pretrained LM checkpoint trajectory; top-1 and KL/NLL matched family contrast."
"Explorations of Self-Repair","ICML 2024",no,yes,yes,no,yes,yes,no,no,limited,no,no,yes,no,LayerNorm/anti-erasure mechanisms,T2,"Training-time and cross-intervention matched evidence rather than final-model head repair."
"ShortGPT","Findings ACL 2025",no,yes,yes,no,yes,yes,no,no,limited,no,no,cosine BI,no,no,T3,"Temporal decline and prospective controls; no pruning-performance claim."
"The Unreasonable Ineffectiveness of the Deeper Layers","ICLR 2025",yes,no,yes,no,yes,yes,no,no,NLL/PPL,no,no,no,no,no,T2,"Independent training trajectories and family matching; no healing."
"As Easy as PIE","Findings NAACL 2025",yes,no,yes,no,yes,yes,yes,no,no,no,no,example features,"top-1 disagreement after pruning",no,T2,"Training-time aggregate and matched-damage family analysis."
"Towards Best Practices of Activation Patching","NeurIPS workshop 2023",no,yes,yes,no,no,limited,yes,limited,limited,no,no,yes,no,no,T2,"Preregistered independent-run empirical finding beyond general metric-choice warning."
"Is This the Subspace You Are Looking For?","ICLR 2024",no,yes,yes,no,no,limited,yes,yes,limited,no,yes,yes,no,interpretability-illusion counterexamples,T2,"Aggregate robustness claim without subspace-attribution claim."
"On the Distance Between Two Neural Networks","NeurIPS 2020",yes,no,partly,no,yes,yes,no,yes,"loss/functional bounds",no,no,theory,no,theoretical stability,T2,"Controlled empirical block/noise result, not a general parameter-distance theory."
"APEX","arXiv 2026",no,yes,partly,no,yes,yes,limited,yes,"output divergence",no,no,yes,"activation-noise output transition; not exact Delta S",bounded training-bias interpretation,T3,"Independent Pythia pretraining runs; block bypass; prospective family damage matching."
