title,authors,year,venue,url,abstract,method,model_family,scale,intervention_type,corpus_data,primary_metric,main_claim,relation_to_candidate_a,tier
"No Free Swap: Protocol-Dependent Layer Redundancy in Transformers","Gabriel Garcia",2026,"arXiv:2605.16234v2","https://arxiv.org/abs/2605.16234","Replacement and interchange are different output-grounded notions of layer equivalence; their gap grows over Pythia training.","Replacement/interchange swap-KL; removal validation; controlled training","Pythia; GPT-2; Qwen; Llama; Mistral","17.6M-8.2B","Weight replacement; layer interchange; deletion; averaging","WikiText-2 and prompt sets","Output KL; replacement-interchange gap; PPL","Training duration produces a protocol-dependent and pair-heterogeneous layer-equivalence gap.","Directly overlaps training-time Pythia layer equivalence and intervention-family dependence; lacks Candidate A's independent-run top-1 and prospective damage matching.",T5
"The Remarkable Robustness of LLMs: Stages of Inference?","Vedang Lad; Jin Hwa Lee; Wes Gurnee; Max Tegmark",2025,"NeurIPS 2025","https://proceedings.neurips.cc/paper_files/paper/2025/hash/bcad07d4bfab51243efaa08b8ed475b3-Abstract-Conference.html","LLMs retain much of their top-1 behavior under adjacent layer deletion and swapping, with depth-localized sensitivity.","Layer deletion and adjacent swap","Pythia; GPT-2; Phi; Llama; Qwen","410M-6.9B plus other public LMs","Layer deletion and swap","Pile tokens and downstream benchmarks","Relative top-1 accuracy; KL; loss; entropy; task scores","Middle layers are robust to structural intervention and depth exhibits staged sensitivity.","Exact static anchor for Candidate A's block intervention and top-1 agreement statistic; no checkpoint trajectory or independent runs.",T4
"SteerCheck: Attribution Specificity and Alignment Leakage in Activation-Steering Audits","Daming Luo; Christy Liang; Junyu Xuan",2026,"arXiv:2608.24335v1","https://arxiv.org/abs/2608.24335","A preregistered activation-steering audit matches off-target KL and shows that comparator geometry still changes behavioral effects.","Prospective matched-KL null-family audit","Qwen3-14B; Qwen2.5-7B; DeepSeek-V2-Lite","7B-14B","Activation steering directions and structured nulls","Behavioral prompt banks; OpenBookQA; FEVER","Off-target KL; behavioral effect; cosine; transfer","KL matching does not make intervention directions exchangeable and family/alignment structure remains.","Strong methodological collision with functional-budget matching and residual family structure, but not a pretraining/block-bypass study.",T4
"Divergent Token Metrics: Measuring Degradation to Prune Away LLM Components--and Optimize Quantization","Bjorn Deiseroth; Max Meuer; Nikolas Gritsch; Constantin Eichenberg; Patrick Schramowski; Matthias Assenmacher; Kristian Kersting",2024,"NAACL 2024","https://aclanthology.org/2024.naacl-long.377/","Token-divergence metrics compare a compressed model with its base model and expose damage missed by aggregate metrics.","Reference-model divergent-token metrics for pruning and quantization","Llama-2 and other compressed LMs","7B-family scale","Component pruning; quantization","Language-model evaluation data","First/share divergent token metrics","Top-1 token disagreement is useful for component-level compression assessment.","Candidate S is the complement of token disagreement on fixed contexts; metric novelty is absent even though Delta S across training is different.",T4
"Training Dynamics Impact Post-Training Quantization Robustness","Albert Catalan-Tatjer; Niccolo Ajroldi; Jonas Geiping",2026,"ICLR 2026","https://arxiv.org/abs/2510.06213","Quantization degradation across hundreds of checkpoints is shaped strongly by learning-rate dynamics and can diverge from full-precision validation loss.","Trajectory analysis plus controlled pretraining","OLMo; SmolLM3; Apertus; OpenSci; Amber; Pythia-style controlled models","70M-32B","Post-training quantization; LR and averaging interventions","Validation corpora and 12 downstream tasks","Quantization-induced CE and accuracy degradation","Training dynamics, especially decay, govern robustness to quantization more than token count alone.","Shows training-time perturbation robustness is already a substantial literature theme; perturbation and endpoint differ.",T4
"When Probing Accuracy Saturates, Fragility Resolves: A Complementary Metric for LLM Pre-Training Analysis","Orion Reblitz-Richardson",2026,"arXiv:2606.11375v2","https://arxiv.org/abs/2606.11375","Activation-noise fragility reveals representational changes across checkpoints after probe accuracy saturates, with an activation-scale confound explicitly corrected.","Activation-noise thresholding over checkpoints and probes","OLMo-2 1B; OLMo-3 7B","1B and 7B","Layer activation noise","Moral, sentiment, syntax minimal-pair probes","Critical noise; probe accuracy","Representational fragility continues to evolve during pretraining and raw cross-layer noise is scale-confounded.","Overlaps training-time activation-noise fragility and confound control; does not test block bypass, top-1 output substitutability, or independent pretraining runs.",T4
"Not the Dimension, the Norm: What Matters in Gradient-Free Weight Perturbation of Language Models","Taeyeong Kim; Ahhyun Kim; TaeHyeon Kim; Unggi Lee",2026,"arXiv:2608.01624v1","https://arxiv.org/abs/2608.01624","Controlled gradient-free adaptation finds performance insensitive to subspace dimension and basis after scale correction, with perturbation norm defining a safe window.","Norm-matched weight-perturbation ablations","Qwen2.5; Llama; Mistral","0.5B-8B","Random low-dimensional and full-weight perturbations","Seven reasoning and generation benchmarks","Task accuracy; survival; perturbation norm","Norm is the live control in its gradient-free adaptation regime, while placement is not inert.","A recent counterpoint to Candidate A's bounded raw-magnitude insufficiency; different intervention objective and no checkpoint trajectory.",T4
"Understanding Robustness of Transformers for Image Classification","Srinadh Bhojanapalli; Ayan Chakrabarti; Daniel Glasner; Daliang Li; Thomas Unterthiner; Andreas Veit",2021,"ICCV 2021","https://openaccess.thecvf.com/content/ICCV2021/html/Bhojanapalli_Understanding_Robustness_of_Transformers_for_Image_Classification_ICCV_2021_paper.html","ViTs are robust to multiple input and model perturbations and to removal of most individual layers, with robustness depending on pretraining data.","Input/model perturbation and layer-removal sweeps","Vision Transformer; ResNet","Base/Large vision models","Layer removal; parameter and input perturbations","ImageNet/JFT-derived vision data","Classification accuracy under perturbation","Transformer layer-removal robustness and training data are linked in vision.","Older cross-domain precursor to training/data-dependent layer-removal robustness; no LM trajectory or functional matching.",T2
"Efficient Parametric Approximations of Neural Network Function Space Distance","Nikita Dhawan; Sicong Huang; Juhan Bae; Roger Baker Grosse",2023,"ICML 2023","https://proceedings.mlr.press/v202/dhawan23a.html","Function-space distance measures average output discrepancy and can be approximated compactly for downstream uses.","LAFTR parametric approximation to output discrepancy","ReLU neural networks","Classical networks","Model comparison in function space","Training sets in continual-learning and influence experiments","Average output discrepancy / FSD","Functional rather than raw parameter distance is an established object with practical utility.","Undercuts any broad novelty claim for function-space over parameter-space measurement; no layer intervention or language-model trajectory.",T2
"Walking Noise: On Layer-Specific Robustness of Neural Architectures against Noisy Computations and Associated Characteristic Learning Dynamics","Hendrik Borras; Bernhard Klein; Holger Froning",2022,"arXiv:2212.10430","https://arxiv.org/abs/2212.10430","Layer-specific additive and multiplicative noise reveals heterogeneous robustness and characteristic adaptation during noisy training.","Layer-wise activation/weight noise and midpoint-noise fitting","MLP; LeNet; CNN-S","Small classifiers","Additive and multiplicative noise","MNIST; FashionMNIST; SVHN; CIFAR-10; Speech Commands","Midpoint noise level; accuracy","Noise family and layer location change robustness; noise training changes the response.","Closest early activation-noise robustness antecedent; not pretrained LMs or checkpoint-wise block substitutability.",T3
